,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
156,Isangel,VU,-19.55,169.27,83.7,70,95,16.44
157,Saldanha,ZA,-33.01,17.94,60.8,82,0,3.36
158,Dikson,RU,73.51,80.55,-11.65,86,2,2.62
159,Lichinga,MZ,-13.31,35.24,63.03,94,100,5.55
160,Coquimbo,CL,-29.95,-71.34,57.2,87,90,5.82
161,Bethel,US,41.37,-73.41,32.52,96,75,5.82
162,Mar del Plata,AR,-38.0,-57.56,63.05,68,0,5.82
163,Wote,KE,-1.78,37.63,62.4,93,28,2.39
164,Rome,US,43.21,-75.46,34.68,86,90,3.36
165,Nuuk,GL,64.18,-51.72,21.2,67,51,14.99
166,Briançon,FR,44.9,6.65,35.35,37,0,3.0
167,Ostrovnoy,RU,68.05,39.51,24.57,94,50,26.84
168,Comodoro Rivadavia,AR,-45.87,-67.5,60.8,55,0,9.17
169,Cap Malheureux,MU,-19.98,57.61,73.99,82,39,7.0
170,Salym,RU,60.06,71.48,15.39,96,100,9.73
171,Shingū,JP,33.73,135.98,55.4,62,40,5.82
172,Kaeo,NZ,-35.1,173.78,77.0,61,0,15.99
173,Sola,VU,-13.88,167.55,82.67,81,100,12.44
174,São João da Barra,BR,-21.64,-41.05,73.17,91,100,4.7
175,Wau,SS,7.7,28.0,73.33,23,17,2.46
176,Okha,RU,53.57,142.95,10.56,89,100,3.38
177,Lima,PE,-12.04,-77.03,66.6,82,75,17.22
178,Broome,US,42.25,-75.83,31.89,92,90,9.17
179,Yangi Marg`ilon,UZ,40.43,71.72,33.8,80,90,2.24
180,Russell,US,32.35,-85.2,51.67,75,1,3.67
181,Antofagasta,CL,-23.65,-70.4,62.6,77,75,12.75
182,Eha Amufu,NG,6.66,7.76,77.25,81,100,5.28
183,Waipawa,NZ,-41.41,175.52,64.65,82,100,4.7
184,Thinadhoo,MV,0.53,72.93,81.99,66,100,6.06
185,Centerville,US,39.63,-84.16,39.99,88,1,5.82
186,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,17.6,57,0,8.95
187,La Ronge,CA,55.1,-105.28,27.5,86,70,6.93
188,San Vicente,AR,-26.62,-54.13,68.11,56,0,4.0
189,Hirara,JP,24.8,125.28,71.6,100,75,11.41
190,Marabba,SD,12.35,32.18,73.6,31,16,8.81
191,Kidal,ML,18.44,1.41,69.37,24,0,9.08
192,Road Town,VG,18.42,-64.62,77.63,88,75,2.24
193,Najrān,SA,17.49,44.13,53.6,50,0,1.32
194,Iqaluit,CA,63.75,-68.51,21.2,79,75,12.75
195,Nikolskoye,RU,59.7,30.79,19.89,78,0,6.71
196,Sept-Îles,CA,50.2,-66.38,21.51,79,97,3.36
197,Sechura,PE,-5.56,-80.82,70.38,74,39,14.32
198,Thompson,CA,55.74,-97.86,21.2,92,90,6.93
199,Haines Junction,CA,60.75,-137.51,1.4,84,100,2.24
200,Matucana,PE,-11.85,-76.4,61.59,61,85,3.98
201,Waingapu,ID,-9.66,120.26,83.14,76,100,11.23
202,Souris,CA,49.62,-100.26,35.94,93,90,6.93
203,Manado,ID,1.49,124.85,84.2,79,20,2.24
204,Nanortalik,GL,60.14,-45.24,27.95,79,0,6.15
205,Meulaboh,ID,4.14,96.13,78.67,84,64,4.68
206,Sungai Raya,ID,0.7,108.9,83.44,76,94,8.7
207,Kondopoga,RU,62.21,34.26,10.4,92,7,2.24
208,Hirtshals,DK,57.59,9.96,39.0,96,100,4.0
209,Esperance,AU,-33.87,121.9,69.8,56,100,17.22
210,Coruripe,BR,-10.13,-36.18,77.67,79,69,14.65
211,Lavrentiya,RU,65.58,-171.0,8.01,88,0,7.45
212,Pindi Bhattian,PK,31.9,73.27,55.0,70,0,3.42
213,Kamakwie,SL,9.5,-12.23,75.2,86,37,3.0
214,Kon Tum,VN,14.35,108.0,73.15,72,72,2.55
215,Mangai,CD,-4.05,19.53,70.32,96,100,2.01
216,Kutum,SD,14.2,24.67,60.57,31,0,8.05
217,Bingöl,TR,38.88,40.49,33.75,87,0,5.19
218,Mackenzie,CA,55.3,-123.17,30.2,92,90,10.29
219,Faya,SA,18.39,42.45,49.1,45,0,1.19
220,Taoudenni,ML,22.68,-3.98,58.78,30,0,11.25
221,Itarema,BR,-2.92,-39.92,79.47,77,100,14.0
222,Sant Julià de Loria,AD,42.46,1.48,29.66,61,100,5.99
223,South Lake Tahoe,US,38.93,-119.98,43.14,56,1,2.82
224,Nānākuli,US,21.39,-158.15,80.04,58,90,10.29
225,Talnakh,RU,69.49,88.4,-14.8,68,0,6.71
226,Jiayuguan City,CN,39.82,98.3,16.09,86,99,3.83
227,Shiyan,CN,32.65,110.78,43.43,65,0,1.97
228,Oranjemund,NA,-28.55,16.43,61.0,92,22,4.61
229,Broken Hill,AU,-31.95,141.43,75.2,33,24,16.11
230,Lerwick,GB,60.15,-1.15,46.4,65,64,25.28
231,Ilulissat,GL,69.22,-51.1,21.2,41,100,6.93
232,Mayna,RU,54.11,47.62,11.93,91,0,3.87
233,Souillac,MU,-20.52,57.52,77.0,73,75,11.41
234,Maragogi,BR,-9.01,-35.22,76.95,79,91,9.35
235,Kalmunai,LK,7.42,81.82,76.89,85,100,8.63
236,Fare,PF,-16.7,-151.02,80.82,75,100,17.58
237,Provideniya,RU,64.38,-173.3,5.0,71,20,6.71
238,Salinópolis,BR,-0.61,-47.36,79.68,82,100,12.59
239,Nelson Bay,AU,-32.72,152.15,75.27,53,0,5.82
240,Wonthaggi,AU,-38.6,145.59,62.33,57,0,13.2
241,Estelle,US,29.85,-90.11,59.67,71,20,5.82
242,Port Lincoln,AU,-34.73,135.87,64.53,64,88,20.07
243,Vrede,ZA,-27.43,29.17,60.62,71,54,2.46
244,Constitución,CL,-35.33,-72.42,55.09,71,0,16.13
245,Cobija,BO,-11.03,-68.77,77.29,80,95,1.88
246,Mogadishu,SO,2.04,45.34,77.97,78,4,18.88
247,Atbasar,KZ,51.8,68.33,4.71,94,61,3.65
248,Half Moon Bay,US,37.46,-122.43,58.19,58,1,9.89
249,Mabini,PH,15.6,120.98,78.8,83,75,4.7
250,Iguape,BR,-24.71,-47.56,73.89,85,75,4.79
251,Faro,PT,37.02,-7.93,59.0,82,20,13.87
252,Vicuña,CL,-30.03,-70.71,57.2,87,90,5.82
253,Katangli,RU,51.71,143.23,13.5,92,100,2.57
254,San Patricio,US,28.02,-97.52,63.3,42,75,10.29
255,Saint-Joseph,RE,-21.37,55.62,73.4,78,0,8.05
256,Mońki,PL,53.41,22.8,26.49,85,98,5.01
257,San Policarpo,PH,12.18,125.51,83.41,76,96,8.19
258,Atar,MR,20.52,-13.05,61.38,29,100,10.54
259,Erzin,TR,36.96,36.2,43.03,100,20,2.24
260,Chara,RU,56.91,118.26,-0.71,87,100,3.0
261,Pokhara,NP,28.23,83.98,55.09,47,0,3.22
262,Llanes,ES,43.42,-4.75,54.12,67,100,20.54
263,Geraldton,AU,-28.77,114.6,75.2,69,100,2.24
264,Sakaiminato,JP,35.55,133.23,44.94,87,75,3.36
265,Baghdad,IQ,33.34,44.4,50.0,76,0,3.36
266,Manama,BH,26.22,50.58,65.66,72,0,9.17
267,Morro Bay,US,35.37,-120.85,62.53,25,1,4.7
268,Nome,US,64.5,-165.41,8.6,71,75,10.29
269,Yetkul',RU,54.82,61.59,5.0,84,0,4.47
270,Baiyin,CN,36.56,104.21,21.31,72,100,2.24
271,Melilla,ES,35.29,-2.94,59.5,77,0,5.82
272,Batticaloa,LK,7.71,81.69,77.54,82,100,8.7
273,Damāvand,IR,35.72,52.06,35.6,74,2,4.7
274,Praia da Vitória,PT,38.73,-27.07,62.78,88,20,10.94
275,Tura,IN,25.52,90.22,59.56,75,0,2.19
276,Aklavik,CA,68.22,-135.01,-4.0,83,75,3.36
277,Tahoua,NE,14.89,5.27,75.2,17,0,2.24
278,Charters Towers,AU,-20.1,146.27,87.49,45,100,13.18
279,Fairbanks,US,64.84,-147.72,8.29,77,75,2.3
280,Bunumbu,SL,8.17,-10.87,72.1,97,13,0.94
281,Emerald,AU,-23.53,148.17,86.0,48,75,13.87
282,Flinders,AU,-34.58,150.86,71.01,82,38,5.01
283,Pacific Grove,US,36.62,-121.92,54.88,71,1,4.7
284,Te Anau,NZ,-45.42,167.72,61.47,61,84,6.73
285,Rio Grande,BR,-32.03,-52.1,66.63,86,0,9.15
286,Maniitsoq,GL,65.42,-52.9,23.59,82,100,1.19
287,Moose Factory,CA,51.26,-80.61,28.4,92,90,4.7
288,Novovarshavka,RU,54.17,74.69,8.13,96,84,9.13
289,Baykit,RU,61.67,96.37,-23.49,81,99,1.43
290,Los Llanos de Aridane,ES,28.66,-17.92,61.12,82,75,16.11
291,Caravelas,BR,-17.71,-39.25,77.59,80,0,11.65
292,Shimoda,JP,34.67,138.95,51.91,87,75,14.99
293,San Luis,AR,-33.3,-66.34,80.78,32,0,12.08
294,Noumea,NC,-22.28,166.46,87.3,58,9,9.17
295,Lubango,AO,-14.92,13.49,60.84,33,99,1.54
296,Antalaha,MG,-14.9,50.28,73.56,84,5,4.47
297,Chennai,IN,13.09,80.28,75.2,94,40,2.24
298,Riyadh,SA,24.69,46.72,53.6,58,0,2.24
299,Kudahuvadhoo,MV,2.67,72.89,82.35,71,97,6.24
300,Mossamedes,AO,-15.2,12.15,65.21,78,93,8.81
301,Manta,EC,-0.95,-80.73,75.2,73,40,5.82
302,Ürümqi,CN,43.8,87.6,-2.2,84,20,2.24
303,Kemin,KG,42.78,75.69,22.15,82,99,1.95
304,Deputatsky,RU,69.3,139.9,-33.32,84,36,1.97
305,Yangambi,CD,0.81,24.43,68.65,97,90,2.21
306,Maţāy,EG,28.42,30.78,53.2,49,0,6.6
307,Teguise,ES,29.06,-13.56,66.2,72,40,12.75
308,Gīdam,IN,18.98,81.4,59.04,60,0,1.95
309,Sinnamary,GF,5.38,-52.95,78.17,86,45,8.97
310,Kalāleh,IR,37.38,55.49,42.8,100,90,4.54
311,Margate,GB,51.38,1.39,42.87,87,100,5.01
312,Yabēlo,ET,4.88,38.08,56.19,49,92,6.64
313,Le Port,RE,-20.94,55.29,67.39,78,40,17.22
314,Ichhāwar,IN,23.02,77.02,60.8,77,40,3.4
315,Wattegama,LK,6.8,81.48,73.4,100,40,3.36
316,Puri,IN,19.8,85.85,69.8,94,40,5.17
317,Barbosa Ferraz,BR,-24.03,-52.01,71.24,57,37,1.74
318,Kizema,RU,61.11,44.83,17.28,90,0,4.85
319,Nizwá,OM,22.93,57.53,56.35,84,4,2.15
320,Ancud,CL,-41.87,-73.82,59.0,67,0,3.36
321,Hachinohe,JP,40.5,141.5,39.2,55,75,9.17
322,Yaan,NG,7.38,8.57,79.32,68,100,9.73
323,Huanta,PE,-12.93,-74.25,60.71,65,99,4.65
324,Honiara,SB,-9.43,159.95,87.8,70,20,8.05
325,Edd,ER,13.93,41.69,76.87,66,0,4.59
326,Tiznit Province,MA,29.58,-9.5,56.8,43,0,2.15
327,Prince Rupert,CA,54.32,-130.32,40.32,86,20,6.93
328,Adrar,MR,20.5,-10.07,57.7,30,83,9.44
329,Xi'an,CN,34.26,108.93,33.3,92,64,2.24
330,Fairlie,GB,55.76,-4.86,40.28,86,100,4.7
331,Cockburn Town,TC,21.46,-71.14,75.2,64,75,5.82
332,Cabo San Lucas,MX,22.89,-109.91,77.83,50,90,2.04
333,Touros,BR,-5.2,-35.46,77.0,83,20,5.82
334,Riachão,BR,-7.36,-46.62,72.82,86,100,4.03
335,Natal,BR,-5.79,-35.21,77.94,83,40,8.05
336,Ponta do Sol,PT,32.67,-17.1,57.76,77,40,5.82
337,Makakilo City,US,21.35,-158.09,80.24,58,90,10.29
338,Poso,ID,-1.4,120.75,80.58,70,100,6.06
339,Lanigan,CA,51.85,-105.03,32.0,96,99,13.87
340,Tobol'sk,RU,58.2,68.27,11.71,97,96,7.72
341,Yulara,AU,-25.24,130.99,64.4,93,90,9.17
342,Torbat-e Jām,IR,35.24,60.62,34.41,86,50,1.57
343,Kabala,SL,9.58,-11.55,70.65,90,1,2.51
344,Mattawa,US,46.74,-119.9,37.92,93,1,10.63
345,Ballina,AU,-28.87,153.57,79.65,61,40,14.99
346,Bāniyās,SY,35.18,35.95,51.8,93,0,4.7
347,Faruka,PK,31.89,72.41,54.45,70,0,3.8
348,Taltal,CL,-25.4,-70.48,59.77,76,22,0.72
349,Namatanai,PG,-3.67,152.43,83.61,74,95,6.29
350,Diedorf,DE,48.35,10.77,32.97,99,99,6.93
351,Dormidontovka,RU,47.77,134.91,15.76,88,97,4.74
352,Vila Velha,BR,-20.33,-40.29,75.2,94,75,4.7
353,Auki,SB,-8.77,160.7,85.21,68,88,3.87
354,Warrington,GB,53.39,-2.58,41.86,87,90,13.87
355,Kirakira,SB,-10.45,161.92,84.09,72,45,3.56
356,Yar-Sale,RU,66.83,70.83,8.89,94,32,15.1
357,Yamada,JP,39.47,141.95,46.44,57,100,9.13
358,Vao,NC,-22.67,167.48,78.35,83,95,14.2
359,College,US,64.86,-147.8,8.19,77,75,2.62
360,Tingo María,PE,-9.29,-76.01,71.46,84,56,1.72
361,Ixtapa,MX,20.7,-105.2,77.9,83,20,5.82
362,Rondonópolis,BR,-16.47,-54.64,74.75,83,100,4.03
363,St. George's,GD,12.06,-61.75,78.8,78,20,9.17
364,Cayenne,GF,4.93,-52.33,80.6,94,31,8.79
365,Tambura,SS,5.6,27.47,74.14,62,0,0.72
366,Bukama,CD,-9.2,25.85,69.82,95,100,0.74
367,Marzuq,YE,14.4,46.47,51.42,51,0,3.4
368,Verkhoyansk,RU,67.54,133.38,-40.86,75,39,1.57
369,Soe,ID,-9.86,124.28,82.38,60,65,0.65
370,Rusape,ZW,-18.53,32.13,60.8,95,100,2.82
371,Suntar,RU,62.14,117.63,-30.03,83,100,3.67
372,Neryungri,RU,56.67,124.65,-15.0,86,100,0.83
373,Lufilufi,WS,-13.87,-171.6,87.8,79,75,10.29
374,Kaili,ID,-3.46,120.21,77.18,80,97,2.86
375,Shintomi,JP,32.08,131.47,50.0,76,75,10.29
376,Union,US,40.63,-74.27,34.29,80,90,4.7
377,Klin,RU,56.33,36.73,12.2,78,0,13.42
378,Garzón,CO,2.2,-75.63,69.57,74,94,1.16
379,Pailón,BO,-17.65,-62.75,68.0,94,75,5.82
380,Cabo Rojo,PR,18.09,-67.15,74.95,94,49,1.99
381,Bathsheba,BB,13.22,-59.52,75.2,83,20,6.93
382,Tautira,PF,-17.73,-149.15,86.0,62,75,13.87
383,Nantucket,US,41.28,-70.1,37.4,93,90,9.17
384,Mitsamiouli,KM,-11.38,43.28,81.46,69,76,6.35
385,Paita,PE,-5.09,-81.11,67.68,84,100,11.1
386,Udachny,RU,66.42,112.4,-40.0,65,40,4.47
387,Port Elizabeth,ZA,-33.92,25.57,66.2,93,90,3.36
388,Zenzeli,RU,45.92,47.05,22.51,93,0,8.3
389,Hīrna,ET,9.22,41.1,54.32,50,89,2.24
390,Makkah al Mukarramah,SA,21.43,39.83,71.8,49,0,0.94
391,Alyangula,AU,-13.85,136.42,87.8,70,40,8.05
392,Ormara,PK,25.21,64.64,74.43,62,0,6.2
393,Kovdor,RU,67.57,30.48,24.1,96,83,12.26
394,Ducheng,CN,23.24,111.53,60.15,62,100,3.47
395,Hendrina,ZA,-26.16,29.72,64.53,86,9,1.81
396,Kushima,JP,31.46,131.23,47.84,76,75,10.29
397,São Filipe,CV,14.9,-24.5,74.95,72,100,9.73
398,Olinda,BR,-8.01,-34.86,78.8,75,85,10.8
399,Havre-St-Pierre,CA,50.23,-63.6,30.2,80,90,5.82
400,Alofi,NU,-19.06,-169.92,82.4,78,75,23.04
401,Zhigansk,RU,66.77,123.37,-38.51,81,32,1.97
402,Havøysund,NO,71.0,24.66,39.2,80,75,17.22
403,Buin,CL,-33.73,-70.75,72.97,25,0,17.22
404,Sorrento,IT,40.63,14.37,50.04,57,40,5.82
405,Awjilah,LY,29.11,21.29,57.7,38,0,12.33
406,Čačak,RS,43.89,20.35,35.6,100,0,2.24
407,Tabas,IR,33.6,56.92,41.0,64,9,2.24
408,Koslan,RU,63.46,48.9,19.08,90,96,7.87
409,Venice,US,27.1,-82.45,53.55,81,1,4.92
410,Forrest City,US,35.01,-90.79,53.62,62,0,3.36
411,Mildura,AU,-34.2,142.15,71.78,46,100,10.29
412,Miandrivazo,MG,-19.52,45.47,77.85,75,100,3.31
413,Kruisfontein,ZA,-34.0,24.73,63.0,96,100,1.01
414,Nova Vodolaha,UA,49.72,35.87,17.29,72,0,11.18
415,Chokurdakh,RU,70.63,147.92,-21.06,88,100,3.49
416,Dingle,PH,11.0,122.67,81.55,83,41,5.12
417,Koutiala,ML,12.39,-5.46,73.9,23,0,10.36
418,Chandler,US,33.31,-111.84,70.59,15,40,8.05
419,Plouzané,FR,48.38,-4.62,49.44,81,40,11.41
420,Hidalgo,MX,20.5,-99.0,54.63,77,0,4.56
421,Santa Cruz del Norte,CU,23.15,-81.92,60.76,77,20,5.82
422,Porto-Vecchio,FR,41.59,9.28,45.54,81,40,9.17
423,Imeni Poliny Osipenko,RU,52.42,136.49,9.23,94,99,1.63
424,Chapais,CA,49.78,-74.85,19.4,85,90,5.82
425,Kīhei,US,20.79,-156.47,79.18,48,40,10.29
426,Baní,DO,18.28,-70.33,75.16,77,15,3.51
427,Ténenkou,ML,14.46,-4.92,72.57,23,0,10.54
428,Lexington,US,37.99,-84.48,43.47,65,1,6.93
429,Jaqué,PA,7.52,-78.17,78.89,83,74,4.16
430,Bahía Solano,CO,6.23,-77.4,78.15,84,100,2.91
431,São José da Coroa Grande,BR,-8.9,-35.15,77.27,79,76,9.57
432,Ust'-Omchug,RU,61.15,149.63,-19.17,84,89,2.15
